Epoch,Train_Loss,Train_Dice,Val_Loss,Val_Dice
1,1.0793,0.6404,0.9961,0.7595
2,0.8790,0.8166,0.8350,0.6613
3,0.7150,0.8322,0.7679,0.6879
4,0.5673,0.8668,0.6114,0.7144
5,0.4423,0.8774,0.4698,0.7874
6,0.3189,0.8941,0.5426,0.5640
7,0.2223,0.9084,0.3042,0.8001
8,0.1588,0.9134,0.2874,0.7668
9,0.1258,0.9145,0.2353,0.8077
10,0.1034,0.9254,0.2643,0.6986
11,0.0916,0.9198,0.2242,0.7737
12,0.0782,0.9295,0.1842,0.8095
13,0.0746,0.9341,0.1501,0.8483
14,0.0705,0.9346,0.1743,0.8389
15,0.0698,0.9295,0.1753,0.8399
16,0.0654,0.9324,0.1871,0.8022
17,0.0621,0.9400,0.2099,0.7828
18,0.0611,0.9371,0.2091,0.8048
19,0.0566,0.9438,0.1011,0.8976
20,0.0569,0.9385,0.1678,0.8173
21,0.0590,0.9375,0.2277,0.7900
22,0.0552,0.9395,0.1159,0.8882
23,0.0546,0.9418,0.1769,0.8274
24,0.0603,0.9343,0.2364,0.6927
25,0.0571,0.9370,0.1763,0.7799
26,0.0528,0.9451,0.1579,0.8190
27,0.0514,0.9393,0.1703,0.8096
28,0.0530,0.9399,0.1804,0.8084
29,0.0503,0.9462,0.1254,0.8538
30,0.0498,0.9446,0.1187,0.8466
31,0.0510,0.9443,0.1131,0.8752
